No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [mph],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [ft],Pitch Release Side [ft],Pitch Extension [ft],Pitch Break (V) [in],Pitch Break Ind (V) [in],Pitch Break (H) [in],Pitch Strike Zone - Height [ft],Pitch Strike Zone - Offset [ft],Pitch Zone Speed [mph],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [mph],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [ft],Col55,Col56,Hit Ball Flight Time [s],pfxx [in],pfxz [in],x0 [ft],y0 [ft],z0 [ft],vx0 [ft/s],vy0 [ft/s],vz0 [ft/s],ax [ft/s²],ay [ft/s²],az [ft/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [ft],pz [ft],Supervisor
21,9/11/2021,14:55:27,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,65.982,3.271,-0.952,1754,77.287,8:30,5.996,2.794,6.643,-65.781,-4.61,-5.058,3.512,1.501,58.732,-9.415,-1.934,0.579,,,,,,,,,,,,2.461,-1.899,-2.728,50.001,6.19,1.688,-95.521,4.144,2.191,19.665,-33.865,Black,Purple,,,,,{EE2D7C1F-3B07-4A05-8191-B05DD9B7F668},-1.501,3.512,
22,9/11/2021,14:55:59,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,65.986,2.249,-0.01,1707,90.752,9:00,6.244,2.566,6.821,-63.651,-3.181,-12.005,2.993,1.557,59.1,-10.034,-2.346,0.575,86.303,23.141,-17.615,326,,,,308.036,,,3.522,6.747,-0.767,-2.561,50.001,6.365,0.248,-95.774,2.534,6.05,19.549,-32.862,Black,Purple,,,,,{AD4A2F8F-9F12-46A9-8F89-8C9E737FB668},-1.557,2.993,
23,9/11/2021,14:56:43,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,81.034,-0.472,-5.296,1904,255.66,2:30,6.159,2.829,7.082,-36.076,4.366,22.084,2.723,-0.151,73.219,-7.391,-1.051,0.465,,,,,,,,,,,,-14.026,3.32,-2.519,50.001,6.119,10.309,-116.577,-1.777,-19.182,23.182,-27.633,Black,Purple,,,,,{81ACDEB8-4D90-4808-A90F-6A2394844C2D},0.151,2.723,
24,9/11/2021,14:56:57,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,80.509,-1.579,-2.976,1762,213.209,1:00,6.459,2.673,6.965,-29.476,10.919,8.236,2.563,0.649,72.701,-7.244,-1.385,0.467,,,,,,,,,,,,-5.605,7.596,-2.492,50.001,6.351,5.883,-116.811,-3.905,-7.618,25.344,-21.849,Black,Purple,,,,,{718F0E26-0896-484E-B6B3-A3A37430A999},-0.649,2.563,
25,9/11/2021,14:57:18,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,79.879,1.983,-1.603,1970,101.495,9:30,6.238,2.311,7.039,-41.013,0.013,-8.981,4.623,0.106,71.703,-5.945,-3.343,0.471,,,,,,,,,,,,4.533,0.368,-2.211,50.001,6.344,3.44,-115.749,3.091,6.026,25.668,-31.685,Black,Purple,,,,,{5407180B-3DE2-4D3A-85A3-51965C6D310B},-0.106,4.623,
26,9/11/2021,14:57:48,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,68.082,1.465,1.883,1850,101.492,9:30,6.349,2.289,6.779,-53.789,3.02,-27.421,3.205,1.724,61.541,-8.854,-3.417,0.554,,,,,,,,,,,,16.005,2.602,-2.401,50.001,6.424,-2.696,-98.936,1.438,15.498,19.17,-29.655,Black,Purple,,,,,{022A1BC3-128F-4696-BC41-18932EDA2EDD},-1.724,3.205,
27,9/11/2021,14:59:49,0,0,Liam Doyle,{AB554327-ED44-41F5-A769-01385A4C432C},R,Purple,River Hart,{0B1AF188-2950-48A4-B2E4-07EE1D5927A8},R,Black,-,,Bottom,,,,,,,,,,,,,71.933,3.34,-1.798,2104,264.131,2:45,5.357,-1.004,7.115,-50.224,0.282,15.832,4.206,-1.316,65.62,-6.306,1.252,0.518,,,,,,,,,,,,-9.446,-0.052,1.105,50.001,5.539,2.959,-104.379,5.086,-10.394,17.994,-32.231,Black,Purple,,,,,{0588E26C-D85F-42BA-9A10-A77C05AED763},1.316,4.206,
28,9/11/2021,14:59:59,0,0,Liam Doyle,{AB554327-ED44-41F5-A769-01385A4C432C},R,Purple,River Hart,{0B1AF188-2950-48A4-B2E4-07EE1D5927A8},R,Black,-,,Bottom,,,,,,,,,,,,,76.881,2.821,0.603,2254,315.122,4:30,5.315,-0.731,7.213,-57.681,-13.759,12.608,3.065,0.866,70.753,-8.23,3.031,0.483,,,,,,,,,,,,-6.968,-7.956,0.693,50.001,5.459,-1.44,-111.691,4.295,-8.801,20.134,-42.223,Black,Purple,,,,,{AB2E7E7D-EFD9-4DEA-8978-D74E1E0598E9},-0.866,3.065,
29,9/11/2021,15:00:10,0,0,Liam Doyle,{AB554327-ED44-41F5-A769-01385A4C432C},R,Purple,River Hart,{0B1AF188-2950-48A4-B2E4-07EE1D5927A8},R,Black,-,,Bottom,,,,,,,,,,,,,80.813,-0.693,1.726,1688,144.791,10:45,5.748,-1.06,7.314,-19.09,20.268,-15.778,3.531,-0.815,71.95,-4.424,-1.365,0.463,,,,,,,,,,,,9.647,13.033,0.968,50.001,5.704,-3.21,-117.509,-1.823,13.099,28.248,-14.477,Black,Purple,,,,,{F0137890-197F-493A-83EF-B2A28A55DBBE},0.815,3.531,
30,9/11/2021,15:00:19,0,0,Liam Doyle,{AB554327-ED44-41F5-A769-01385A4C432C},R,Purple,River Hart,{0B1AF188-2950-48A4-B2E4-07EE1D5927A8},R,Black,-,,Bottom,,,,,,,,,,,,,88.651,-1.56,1.687,2142,106.353,9:30,6.352,-0.832,7.766,-27.427,4.711,-21.461,2.668,-1.11,79.655,-6.928,-2.542,0.418,,,,,,,,,,,,13.054,4.214,0.756,50.001,6.272,-3.364,-128.939,-4.067,21.434,32.95,-25.255,Black,Purple,,,,,{D25EFD71-D5C4-46D7-9D73-370132530F08},1.11,2.668,
31,9/11/2021,15:00:31,0,0,Liam Doyle,{AB554327-ED44-41F5-A769-01385A4C432C},R,Purple,River Hart,{0B1AF188-2950-48A4-B2E4-07EE1D5927A8},R,Black,-,,Bottom,,,,,,,,,,,,,87.777,-0.932,2.837,2192,121.083,10:00,6.325,-0.719,7.975,-25.394,7.3,-14.088,3.377,0.64,79.48,-5.903,0.07,0.419,,,,,,,,,,,,9.097,5.245,0.596,50.001,6.279,-6.051,-127.438,-2.551,14.801,28.771,-23.641,Black,Purple,,,,,{CD17C8DE-518D-4318-ADA5-51D33142E36F},-0.64,3.377,
